date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:26	3999/3999	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Dec%202022%2017:04:04%20GMT	https://landing.engotheme.com/robots.txt		(from )
16:47:29	60075/60075	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20May%202017%2003:28:02%20GMT	https://landing.engotheme.com/html/lotus/demo/index.html	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/index.html	(from )
16:47:29	19021/19021	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Sep%202016%2014:41:14%20GMT	https://landing.engotheme.com/html/lotus/demo/images/favicon.png	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/images/favicon.png	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:30	23829/23829	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202016%2013:24:18%20GMT	https://landing.engotheme.com/html/lotus/demo/css/lib/font-awesome.min.css	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/css/lib/font-awesome.min.css	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:31	2370/2370	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Aug%202016%2012:42:50%20GMT	https://landing.engotheme.com/html/lotus/demo/css/lib/font-lotusicon.css	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/css/lib/font-lotusicon.css	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:32	5955/5955	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202016%2013:24:18%20GMT	https://landing.engotheme.com/html/lotus/demo/css/lib/owl.carousel.css	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/css/lib/owl.carousel.css	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:34	113568/113568	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202016%2013:24:18%20GMT	https://landing.engotheme.com/html/lotus/demo/css/lib/bootstrap.min.css	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/css/lib/bootstrap.min.css	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:34	8326/8326	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202016%2013:24:18%20GMT	https://landing.engotheme.com/html/lotus/demo/css/lib/magnific-popup.css	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/css/lib/magnific-popup.css	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:35	72412/72412	---MCZ	200	added ('OK')	text/css	date:Sat,%2017%20Sep%202016%2020:42:40%20GMT	https://landing.engotheme.com/html/lotus/demo/css/lib/settings.css	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/css/lib/settings.css	(from https://landing.engotheme.com/html/lotus/demo/index.html)
16:47:35	5682/5682	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202016%2013:24:18%20GMT	https://landing.engotheme.com/html/lotus/demo/css/lib/bootstrap-select.min.css	C:/Users/ADMIN/Desktop/Giaodien/test/landing.engotheme.com/html/lotus/demo/css/lib/bootstrap-select.min.css	(from https://landing.engotheme.com/html/lotus/demo/index.html)
